Foreign State of Chargeability,,
or Place of Birth,Visa Class,Issuances
Zambia,SE3,4
Zimbabwe,CR1,1
Zimbabwe,DV1,2
Zimbabwe,E31,1
Zimbabwe,E35,1
Zimbabwe,F11,2
Zimbabwe,F41,1
Zimbabwe,F42,1
Zimbabwe,FX1,1
Zimbabwe,FX3,1
Zimbabwe,IR3,1
Zimbabwe,IR5,10
Grand Total,,"47,859"
